RowID,OrderID,OrderDate,ShipDate,CustomerName,CustomerID,TotalCost,Frequency
26,CA-2017-105816,2017-12-11,2017-12-17,Janet Molinari,JM-15265,1045.21,2
27,CA-2017-111682,2017-06-17,2017-06-18,Ted Butterfield,TB-21055,655.09,7
28,CA-2016-135545,2016-11-24,2016-11-30,Kunst Miller,KM-16720,266.29,4
29,US-2016-164175,2016-04-30,2016-05-05,Paul Stevenson,PS-18970,213.115,1
30,CA-2015-106376,2015-12-05,2015-12-10,Brendan Sweed,BS-11590,1280.99,2
31,CA-2017-119823,2017-06-04,2017-06-06,Karen Daniels,KD-16270,75.88,1
32,CA-2017-106075,2017-09-18,2017-09-23,Henry MacAllister,HM-14980,4.616,1
33,CA-2018-114440,2018-09-14,2018-09-17,Tracy Blumstein,TB-21520,19.05,1
34,US-2016-134026,2016-04-26,2016-05-02,Joel Eaton,JE-15745,1001.76,3
35,US-2018-118038,2018-12-09,2018-12-11,Ken Brennan,KB-16600,38.2,3
36,US-2015-147606,2015-11-26,2015-12-01,Joel Eaton,JE-15745,19.3,1
37,CA-2017-127208,2017-06-12,2017-06-15,Stewart Carmichael,SC-20770,224.9,2
38,CA-2015-139451,2015-10-12,2015-10-16,Duane Noonan,DN-13690,36.29,2
39,CA-2016-149734,2016-09-03,2016-09-08,Julie Creighton,JC-16105,200.984,1
40,US-2018-119662,2018-11-13,2018-11-16,Christopher Schild,CS-12400,230.376,1
41,CA-2018-140088,2018-05-28,2018-05-30,Patrick O'Donnell,PO-18865,301.96,1
42,CA-2018-155558,2018-10-26,2018-11-02,Paul Gonzalez,PG-18895,26.15,2
43,CA-2017-159695,2017-04-05,2017-04-10,Gary Mitchum,GM-14455,158.368,1
44,CA-2017-109806,2017-09-17,2017-09-22,Jim Sink,JS-15685,100.16,3
45,CA-2016-149587,2016-01-31,2016-02-05,Karl Braun,KB-16315,99.26,3
46,US-2018-109484,2018-11-06,2018-11-12,Roger Barcio,RB-19705,5.682,1
47,CA-2018-161018,2018-11-09,2018-11-11,Parhena Norris,PN-18775,96.53,1
48,CA-2018-157833,2018-06-17,2018-06-20,Katherine Ducich,KD-16345,51.312,1
49,CA-2017-149223,2017-09-06,2017-09-11,Elpida Rittenbach,ER-13855,77.88,1
50,CA-2017-158568,2017-08-29,2017-09-02,Rick Bensley,RB-19465,162.39,3
51,CA-2017-129903,2017-12-01,2017-12-04,Gary Zandusky,GZ-14470,23.92,1
52,US-2016-156867,2016-11-13,2016-11-17,Lena Cacioppo,LC-16870,378.14,3
53,CA-2018-119004,2018-11-23,2018-11-28,Janet Martin,JM-15250,105.4,3
54,CA-2016-129476,2016-10-15,2016-10-20,Pete Armstrong,PA-19060,339.96,1
55,CA-2018-146780,2018-12-25,2018-12-30,Cynthia Voltz,CV-12805,41.96,1
56,CA-2017-128867,2017-11-03,2017-11-10,Clay Ludtke,CL-12565,103.2,2
57,CA-2015-115259,2015-08-25,2015-08-27,Ryan Crowe,RC-19960,199.26,4
58,CA-2016-110457,2016-03-02,2016-03-06,Dave Kipp,DK-13090,787.53,1
59,US-2016-136476,2016-04-05,2016-04-10,Greg Guthrie,GG-14650,157.794,1
60,CA-2017-103730,2017-06-12,2017-06-15,Steven Cartwright,SC-20725,487.5,5
61,US-2015-152030,2015-12-26,2015-12-28,Alan Dominguez,AD-10180,600.558,1
62,US-2015-134614,2015-09-20,2015-09-25,Philip Fox,PF-19165,617.7,1
63,US-2018-107272,2018-11-05,2018-11-12,Troy Staebel,TS-21610,246.38,2
64,US-2017-125969,2017-11-06,2017-11-10,Lindsay Shagiari,LS-16975,319.98,2
65,US-2018-164147,2018-02-02,2018-02-05,Dorothy Wardle,DW-13585,159.73,3
66,CA-2017-145583,2017-10-13,2017-10-19,Lena Creighton,LC-16885,256.2,7
67,CA-2017-110366,2017-09-05,2017-09-07,Jonathan Doherty,JD-15895,82.8,1
68,CA-2018-106180,2018-09-18,2018-09-23,Sally Hughsby,SH-19975,163.38,3
69,CA-2018-155376,2018-12-22,2018-12-27,Sandra Glassco,SG-20080,839.43,1
70,CA-2016-110744,2016-09-07,2016-09-12,Helen Andreada,HA-14920,671.93,1
71,CA-2015-110072,2015-10-22,2015-10-28,Maureen Gastineau,MG-17680,93.888,1
72,CA-2017-114489,2017-12-05,2017-12-09,Justin Ellison,JE-16165,2657.81,4
73,CA-2017-158834,2017-03-13,2017-03-16,Tamara Willingham,TW-21025,361.1,2
74,CA-2016-124919,2016-05-31,2016-06-02,Stephanie Phelps,SP-20650,244.78,3
75,CA-2016-118948,2016-05-28,2016-06-03,Neil Knudson,NK-18490,6.63,1
76,CA-2015-104269,2015-03-01,2015-03-06,Dave Brooks,DB-13060,457.568,1
77,CA-2017-114104,2017-11-20,2017-11-24,Nora Paige,NP-18670,959.55,2
78,CA-2017-162733,2017-05-11,2017-05-12,Ted Trevino,TT-21070,5.98,1
79,CA-2016-119697,2016-12-28,2016-12-31,Eric Murdock,EM-13960,54.384,1
80,CA-2017-154508,2017-11-16,2017-11-20,Ruben Dartt,RD-19900,28.4,1
81,CA-2017-113817,2017-11-07,2017-11-11,Max Jones,MJ-17740,27.68,1
82,CA-2015-139892,2015-09-08,2015-09-12,Becky Martin,BM-11140,10539.9,7
83,CA-2015-118962,2015-08-05,2015-08-09,Chad Sievert,CS-12130,472.04,3
84,US-2015-100853,2015-09-14,2015-09-19,Jennifer Braxton,JB-15400,72.61,2
85,US-2018-152366,2018-04-21,2018-04-25,Shirley Jackson,SJ-20500,97.264,1
86,US-2016-101511,2016-11-21,2016-11-23,Joel Eaton,JE-15745,412.68,2
87,CA-2016-137225,2016-12-15,2016-12-19,Jim Kriz,JK-15640,3.28,1
88,CA-2015-166191,2015-12-05,2015-12-09,David Kendrick,DK-13150,433.56,2
89,CA-2015-158274,2015-11-19,2015-11-24,Robert Marley,RM-19675,682.91,3
90,CA-2017-105018,2017-11-28,2017-12-02,Sally Knutson,SK-19990,7.16,1
91,CA-2015-123260,2015-08-26,2015-08-30,Frank Merwin,FM-14290,176.8,1
92,CA-2017-157000,2017-07-16,2017-07-22,Alice McCarthy,AM-10360,57.24,2
93,CA-2016-102281,2016-10-12,2016-10-14,Mark Packer,MP-17470,1668.99,5
94,CA-2016-131457,2016-10-31,2016-11-06,Mary Zewe,MZ-17515,14.28,1
95,CA-2015-140004,2015-03-21,2015-03-25,Cassandra Brandow,CB-12025,13.46,2
96,CA-2018-107720,2018-11-06,2018-11-13,Valerie Mitchum,VM-21685,46.26,1
97,US-2018-124303,2018-07-06,2018-07-13,Fred Hopkins,FH-14365,19.0,2
98,CA-2018-105074,2018-06-24,2018-06-29,Maria Bertelson,MB-17305,21.744,1
99,CA-2015-133690,2015-08-03,2015-08-05,Bruce Stewart,BS-11755,221.35,2
100,US-2018-116701,2018-12-17,2018-12-21,Logan Currie,LC-17140,66.284,1
101,CA-2018-126382,2018-06-03,2018-06-07,Heather Kirkland,HK-14890,35.168,1
102,CA-2018-108329,2018-12-09,2018-12-14,Laurel Elliston,LE-16810,444.768,1
103,CA-2018-135860,2018-12-01,2018-12-07,Joseph Holt,JH-15985,376.1,5
104,CA-2016-101007,2016-02-09,2016-02-13,Michael Stewart,MS-17980,20.8,1
105,CA-2016-146262,2016-01-02,2016-01-09,Victoria Wilson,VW-21775,1816.69,5
106,CA-2017-130162,2017-10-28,2017-11-01,Jonathan Howell,JH-15910,395.44,2
107,CA-2016-169397,2016-12-24,2016-12-27,Joni Blumstein,JB-15925,627.93,6
108,CA-2016-163055,2016-08-09,2016-08-16,David Smith,DS-13180,646.63,3
109,US-2016-145436,2016-02-28,2016-03-04,Valerie Dominguez,VD-21670,551.26,2
110,US-2015-156216,2015-09-13,2015-09-17,Erin Ashbrook,EA-14035,18.648,1
111,US-2018-100930,2018-04-07,2018-04-12,Christopher Schild,CS-12400,1735.85,5
112,CA-2018-160514,2018-11-12,2018-11-16,David Bremer,DB-13120,10.56,1
113,CA-2017-157749,2017-06-04,2017-06-09,Ken Lonsdale,KL-16645,677.95,7
114,CA-2015-131926,2015-06-01,2015-06-06,Dianna Wilson,DW-13480,3745.63,5
115,CA-2017-154739,2017-12-10,2017-12-15,Logan Haushalter,LH-17155,321.568,1
116,CA-2017-145625,2017-09-11,2017-09-17,Kelly Collister,KC-16540,3354.98,2
117,CA-2017-146941,2017-12-10,2017-12-13,Delfina Latchford,DL-13315,442.5,2
118,US-2016-159982,2016-11-28,2016-12-04,Dan Reichenbach,DR-12880,796.32,4
119,CA-2018-163139,2018-12-01,2018-12-03,Craig Carreira,CC-12670,259.44,3
120,US-2018-155299,2018-06-08,2018-06-12,Dorris liebe,Dl-13600,1.624,1
121,US-2015-106992,2015-09-19,2015-09-21,Sean Braxton,SB-20290,5579.94,2
122,CA-2017-125318,2017-06-06,2017-06-13,Roy Collins,RC-19825,328.224,1
123,CA-2016-155040,2016-11-10,2016-11-15,Alan Hwang,AH-10210,79.9,1
124,CA-2018-136826,2018-06-16,2018-06-20,Claudia Bergmann,CB-12535,14.016,1
125,CA-2017-111010,2017-01-22,2017-01-28,Paul Gonzalez,PG-18895,7.56,1
126,US-2018-145366,2018-12-09,2018-12-13,Christine Abelman,CA-12310,94.78,2
127,CA-2018-163979,2018-12-28,2019-01-02,Kristen Hastings,KH-16690,725.84,1
128,CA-2016-155334,2016-07-30,2016-07-31,Helen Andreada,HA-14920,226.13,3
129,CA-2018-118136,2018-09-16,2018-09-17,Barry Blumstein,BB-10990,14.8,2
130,CA-2018-132976,2018-10-13,2018-10-17,Andrew Gjertsen,AG-10495,114.37,4
131,US-2016-161991,2016-09-26,2016-09-28,Steven Cartwright,SC-20725,1116.48,2
132,CA-2016-130890,2016-11-02,2016-11-06,Jas O'Carroll,JO-15280,1038.84,1
133,CA-2016-130883,2016-09-26,2016-10-02,Tracy Blumstein,TB-21520,412.66,3
134,CA-2017-112697,2017-12-18,2017-12-20,Alan Haines,AH-10195,1410.07,3
135,CA-2017-110772,2017-11-20,2017-11-24,Nick Zandusky,NZ-18565,380.54,4
136,CA-2015-111451,2015-12-26,2015-12-28,Kelly Lampkin,KL-16555,855.27,5
137,CA-2017-142545,2017-10-28,2017-11-03,Jonathan Doherty,JD-15895,1263.67,5
138,US-2018-152380,2018-11-19,2018-11-23,Jonathan Howell,JH-15910,219.075,1
139,CA-2016-144253,2016-05-04,2016-05-09,Alan Schoenberger,AS-10225,26.8,1
140,CA-2015-130960,2015-12-30,2016-01-04,Ken Brennan,KB-16600,9.84,1
141,CA-2015-111003,2015-06-01,2015-06-06,Corey Roper,CR-12625,334.68,2
142,CA-2018-126774,2018-04-15,2018-04-17,Shahid Hopkins,SH-20395,4.89,1
143,CA-2017-142902,2017-09-12,2017-09-14,Ben Peterman,BP-11185,503.39,4
144,CA-2015-120887,2015-09-27,2015-10-03,Thomas Seio,TS-21205,87.54,1
145,CA-2015-167850,2015-08-09,2015-08-16,Andy Gerbode,AG-10525,193.94,2
146,CA-2015-164259,2015-12-28,2015-12-30,Sung Pak,SP-20860,99.136,1
147,CA-2015-164973,2015-11-04,2015-11-09,Nathan Mautz,NM-18445,4807.37,5
148,CA-2015-156601,2015-09-19,2015-09-24,Frank Atkinson,FA-14230,7.16,1
149,CA-2017-162138,2017-04-23,2017-04-27,Grace Kelly,GK-14620,351.51,2
150,CA-2018-153339,2018-11-03,2018-11-05,Don Jones,DJ-13510,15.992,1
151,US-2017-141544,2017-08-30,2017-09-01,Patrick O'Brill,PO-18850,1269.86,5
152,US-2017-150147,2017-04-25,2017-04-29,John Lucas,JL-15850,108.42,3
153,CA-2016-137946,2016-09-01,2016-09-04,Doug Bickford,DB-13615,979.11,3
154,CA-2015-129924,2015-07-12,2015-07-17,Alyssa Crouse,AC-10420,706.06,2
155,CA-2016-128167,2016-06-22,2016-06-26,Ken Lonsdale,KL-16645,4.96,1
156,CA-2015-122336,2015-04-13,2015-04-17,Jonathan Doherty,JD-15895,630.75,4
157,US-2016-120712,2016-12-20,2016-12-24,Chad Sievert,CS-12130,88.8,1
158,CA-2018-169901,2018-06-15,2018-06-19,Clay Cheatham,CC-12550,47.976,1
159,CA-2018-134306,2018-07-08,2018-07-12,Tamara Dahlen,TD-20995,45.08,3
160,CA-2017-129714,2017-09-01,2017-09-03,Adam Bellavance,AB-10060,4438.69,5
161,CA-2017-138520,2017-04-08,2017-04-13,Jeremy Lonsdale,JL-15505,448.4,4
162,CA-2017-130001,2017-04-23,2017-04-28,Heather Kirkland,HK-14890,36.24,1
163,CA-2018-155698,2018-03-08,2018-03-11,Victoria Brennan,VB-21745,668.54,2
164,CA-2018-144904,2018-09-25,2018-10-01,Katrina Willman,KW-16435,562.03,4
165,CA-2015-123344,2015-09-24,2015-09-29,Julia Dunbar,JD-16060,211.96,1
166,CA-2017-155516,2017-10-21,2017-10-21,Michael Kennedy,MK-17905,1179.27,4
167,CA-2018-104745,2018-05-29,2018-06-04,Guy Thornton,GT-14755,79.34,2
168,US-2015-119137,2015-07-23,2015-07-27,Arthur Gainer,AG-10900,1520.38,4
169,US-2017-134656,2017-09-28,2017-10-01,Muhammed MacIntyre,MM-18280,99.136,1
170,US-2018-134481,2018-08-27,2018-09-01,Allen Rosenblatt,AR-10405,1488.424,1
171,CA-2016-130792,2016-04-28,2016-05-05,Russell Applegate,RA-19915,44.66,3
172,CA-2017-134775,2017-10-28,2017-10-29,Alejandro Savely,AS-10285,100.5,2
173,CA-2016-125395,2016-06-26,2016-06-29,Laura Armstrong,LA-16780,41.9,1
174,US-2016-168935,2016-11-27,2016-12-02,Denny Ordway,DO-13435,459.43,2
175,CA-2016-122756,2016-12-03,2016-12-07,Dean Katz,DK-13225,485.3,2
176,CA-2015-115973,2015-11-24,2015-11-26,Nathan Gelder,NG-18430,2.624,1
177,CA-2018-101798,2018-12-11,2018-12-15,Mike Vittorini,MV-18190,63.34,2
178,US-2015-135972,2015-09-21,2015-09-23,Jack Garza,JG-15115,2046.35,2
179,US-2015-134971,2015-06-07,2015-06-10,Bart Pistole,BP-11095,12.462,1
180,CA-2018-102946,2018-06-30,2018-07-05,Victor Preis,VP-21730,75.792,1
181,CA-2018-165603,2018-10-17,2018-10-19,Saphhira Shifley,SS-20140,62.92,2
182,CA-2016-122259,2016-10-31,2016-11-04,Harold Pawlan,HP-14815,70.12,1
183,CA-2017-108987,2017-09-08,2017-09-10,Anna Gayman,AG-10675,2620.94,4
184,CA-2015-113166,2015-12-24,2015-12-26,Luke Foster,LF-17185,9.568,1
185,CA-2015-155208,2015-04-16,2015-04-20,Stephanie Phelps,SP-20650,39.072,1
186,CA-2018-117933,2018-12-24,2018-12-29,Roy Französisch,RF-19840,35.91,1
187,CA-2018-117457,2018-12-08,2018-12-12,Keith Herrera,KH-16510,3955.51,9
188,CA-2018-142636,2018-11-03,2018-11-07,Kimberly Carter,KC-16675,447.0,2
189,CA-2018-122105,2018-06-24,2018-06-28,Caroline Jumper,CJ-12010,95.92,1
190,CA-2017-148796,2017-04-14,2017-04-18,Philip Brown,PB-19150,383.8,1
191,CA-2018-154816,2018-11-06,2018-11-10,Victoria Brennan,VB-21745,5.78,1
192,CA-2018-110478,2018-03-04,2018-03-09,Sung Pak,SP-20860,24.57,2
193,CA-2015-142048,2015-06-22,2015-06-25,Joel Eaton,JE-15745,196.752,1
194,CA-2018-125388,2018-10-19,2018-10-23,Michael Paige,MP-17965,89.26,2
195,CA-2018-155705,2018-08-21,2018-08-23,Natalie Fritzler,NF-18385,866.4,1
196,CA-2018-149160,2018-11-23,2018-11-26,Janet Molinari,JM-15265,316.32,2
197,CA-2015-101476,2015-09-12,2015-09-13,Shirley Daniels,SD-20485,69.99,1
198,CA-2018-152275,2018-10-01,2018-10-08,Ken Heidel,KH-16630,6.672,1
199,US-2017-123750,2017-04-15,2017-04-21,Ross Baird,RB-19795,895.06,4
200,CA-2017-127369,2017-06-06,2017-06-07,Dave Brooks,DB-13060,714.3,1
201,US-2015-150574,2015-12-19,2015-12-25,Mike Kennedy,MK-18160,252.61,2
202,CA-2017-147375,2017-06-12,2017-06-14,Philisse Overcash,PO-19180,1321.47,2
203,CA-2018-130043,2018-09-15,2018-09-19,Brenda Bowman,BB-11545,31.872,1
204,CA-2018-157252,2018-01-20,2018-01-23,Cynthia Voltz,CV-12805,207.846,1
205,CA-2017-115756,2017-09-05,2017-09-07,Pete Kriz,PK-19075,634.46,6
206,CA-2018-154214,2018-03-20,2018-03-25,Troy Blackwell,TB-21595,2.91,1
207,CA-2017-166674,2017-04-01,2017-04-03,Raymond Buch,RB-19360,560.78,6
208,CA-2018-147277,2018-10-20,2018-10-24,Ed Braxton,EB-13705,949.77,2
209,CA-2017-100153,2017-12-13,2017-12-17,Ken Heidel,KH-16630,63.88,1
210,US-2015-110674,2015-02-12,2015-02-18,Sanjit Chand,SC-20095,129.568,1
211,US-2017-157945,2017-09-26,2017-10-01,Natalie Fritzler,NF-18385,756.49,2
212,CA-2016-109638,2016-12-15,2016-12-22,Joseph Holt,JH-15985,1055.14,3
213,CA-2017-109869,2017-04-22,2017-04-29,Tanja Norvell,TN-21040,1588.33,5
214,US-2016-101399,2016-01-17,2016-01-24,Joni Sundaresam,JS-15940,254.744,1
215,CA-2018-154907,2018-03-31,2018-04-04,David Smith,DS-13180,205.3328,1
216,US-2017-100419,2017-12-16,2017-12-20,Craig Carreira,CC-12670,4.788,1
217,CA-2016-154144,2016-12-20,2016-12-24,Maya Herman,MH-17785,55.48,1
218,CA-2015-144666,2015-11-09,2015-11-11,Jeremy Pistek,JP-15520,1517.58,6
219,CA-2017-103891,2017-07-12,2017-07-19,Kristen Hastings,KH-16690,95.76,1
220,CA-2017-152632,2017-10-27,2017-11-02,Jeremy Ellison,JE-15475,40.2,1
221,CA-2017-100790,2017-06-26,2017-07-02,John Grady,JG-15805,718.95,2
222,CA-2015-134677,2015-10-06,2015-10-10,Xylona Preis,XP-21865,9.09,1
223,CA-2015-127691,2015-07-22,2015-07-27,Erin Mull,EM-14065,165.94,2
224,CA-2018-140963,2018-06-10,2018-06-13,Michelle Tran,MT-18070,823.72,3
225,CA-2015-154627,2015-10-29,2015-10-31,Sue Ann Reed,SA-20830,2735.952,1
226,CA-2015-133753,2015-06-09,2015-06-13,Carl Weiss,CW-11905,142.35,3
227,CA-2015-113362,2015-09-14,2015-09-19,Astrea Jones,AJ-10960,460.22,2
228,CA-2017-169166,2017-05-09,2017-05-14,Sonia Sunley,SS-20590,93.98,1
229,US-2017-120929,2017-03-18,2017-03-21,Rose O'Brian,RO-19780,189.882,1
230,CA-2016-134782,2016-12-27,2016-12-31,Maribeth Dona,MD-17350,105.42,1
231,CA-2017-126158,2017-07-25,2017-07-31,Sanjit Chand,SC-20095,686.25,4
232,US-2017-105578,2017-05-30,2017-06-04,Maribeth Yedwab,MY-17380,874.31,5
233,CA-2018-134978,2018-11-12,2018-11-15,Ed Braxton,EB-13705,15.92,1
234,CA-2016-145352,2016-03-16,2016-03-22,Christopher Martinez,CM-12385,6412.77,4
235,CA-2018-135307,2018-11-26,2018-11-27,Lynn Smith,LS-17245,164.34,2
236,CA-2017-106341,2017-10-20,2017-10-23,Luke Foster,LF-17185,7.152,1
237,CA-2018-163405,2018-12-21,2018-12-25,Bradley Nguyen,BN-11515,12.51,2
238,CA-2018-127432,2018-01-22,2018-01-27,Alan Dominguez,AD-10180,4189.38,4
239,CA-2016-157812,2016-03-22,2016-03-26,Dean Braden,DB-13210,162.07,3
240,CA-2018-145142,2018-01-23,2018-01-25,Matt Connell,MC-17605,210.98,1
241,US-2017-139486,2017-05-21,2017-05-23,Logan Haushalter,LH-17155,121.44,2
242,CA-2016-158792,2016-12-26,2017-01-02,Brian Dahlen,BD-11605,22.2,1
243,CA-2018-113558,2018-10-21,2018-10-26,Patricia Hirasaki,PH-18790,729.65,2
244,US-2016-138303,2016-09-03,2016-09-07,Mike Gockenbach,MG-18145,755.09,3
245,CA-2016-102848,2016-11-07,2016-11-09,Karen Bern,KB-16240,190.72,1
246,US-2018-129441,2018-09-07,2018-09-11,Jasper Cacioppo,JC-15340,47.94,1
247,CA-2017-168753,2017-05-29,2017-06-01,Rob Lucas,RL-19615,1002.7,2
248,CA-2017-126613,2017-07-10,2017-07-16,Allen Armold,AA-10375,16.768,1
249,US-2018-122637,2018-09-03,2018-09-08,Emily Phan,EP-13915,42.616,1
250,CA-2016-147851,2016-12-03,2016-12-08,Mark Packer,MP-17470,10.752,1
251,CA-2016-134894,2016-12-07,2016-12-11,Darren Koutras,DK-12985,436.86,2
252,CA-2015-140795,2015-02-01,2015-02-03,Bradley Drucker,BD-11500,468.9,1
253,CA-2017-136924,2017-07-14,2017-07-17,Erin Smith,ES-14080,380.864,1
254,US-2016-120161,2016-12-18,2016-12-23,Liz MacKendrick,LM-17065,646.776,1
255,CA-2015-103849,2015-05-11,2015-05-16,Paul Gonzalez,PG-18895,225.01,3
256,CA-2018-162929,2018-11-19,2018-11-22,Adrian Shami,AS-10135,54.64,2
257,CA-2016-113173,2016-11-15,2016-11-17,Dean Katz,DK-13225,270.36,3
258,CA-2017-136406,2017-04-15,2017-04-17,Bill Donatelli,BD-11320,1121.568,1
259,CA-2018-112774,2018-09-11,2018-09-12,Ryan Crowe,RC-19960,34.504,1
260,CA-2018-101945,2018-11-24,2018-11-28,Greg Tran,GT-14710,10.824,1
261,CA-2018-100650,2018-06-29,2018-07-03,Dean Katz,DK-13225,1295.78,1
262,CA-2015-155852,2015-03-03,2015-03-07,Ashley Jarboe,AJ-10945,19.456,1
263,CA-2017-113243,2017-06-10,2017-06-15,Olvera Toch,OT-18730,1388.78,3
264,CA-2018-118731,2018-11-20,2018-11-22,Liz Pelletier,LP-17080,126.66,2
265,CA-2015-145576,2015-09-14,2015-09-18,Cynthia Arntzen,CA-12775,26.13,2
266,CA-2016-130736,2016-12-07,2016-12-09,Jeremy Farry,JF-15490,6.57,2
267,CA-2018-137099,2018-12-07,2018-12-10,Frank Preis,FP-14320,374.376,1
268,CA-2018-156951,2018-10-01,2018-10-08,Ellis Ballard,EB-13840,643.52,4
269,CA-2018-164826,2018-12-28,2019-01-04,Jennifer Ferguson,JF-15415,134.52,4
270,CA-2017-127250,2017-11-03,2017-11-07,Sarah Foster,SF-20200,8.82,1
271,CA-2016-149713,2016-09-18,2016-09-22,Trudy Glocke,TG-21640,187.94,3
272,CA-2018-118640,2018-07-20,2018-07-26,Carlos Soltero,CS-11950,78.5,2
273,CA-2016-132906,2016-09-10,2016-09-14,Charles Crestani,CC-12145,51.52,1
274,CA-2018-145233,2018-12-01,2018-12-05,Dianna Vittorini,DV-13465,1020.26,5
275,CA-2016-128139,2016-07-03,2016-07-09,Bruce Degenhardt,BD-11725,365.91,2
276,US-2017-156986,2017-03-20,2017-03-24,Zuschuss Carroll,ZC-21910,132.71,4
277,CA-2015-135405,2015-01-09,2015-01-13,Melanie Seite,MS-17830,40.54,2
278,CA-2015-131450,2015-08-08,2015-08-15,Lena Radford,LR-16915,2049.82,4
279,CA-2017-120180,2017-07-14,2017-07-16,Theone Pippenger,TP-21130,11.632,1
280,US-2017-100720,2017-07-16,2017-07-21,Chloris Kastensmidt,CK-12205,644.2,3
281,CA-2015-149958,2015-03-15,2015-03-19,Alan Shonely,AS-10240,370.78,5
282,US-2015-105767,2015-05-23,2015-05-27,Andrew Roberts,AR-10510,79.64,3
283,CA-2017-161816,2017-04-28,2017-05-01,Nona Balk,NB-18655,385.29,2
284,CA-2017-121223,2017-09-11,2017-09-13,Giulietta Dortch,GD-14590,737.39,2
285,CA-2018-138611,2018-11-14,2018-11-17,Clytie Kelty,CK-12595,123.59,2
286,CA-2018-117947,2018-08-18,2018-08-23,Nat Gilpin,NG-18355,283.77,5
287,US-2015-111171,2015-12-26,2015-12-31,Christina Anderson,CA-12265,8.69,1
288,CA-2016-138009,2016-11-29,2016-12-03,Sylvia Foulston,SF-20965,1542.47,4
289,CA-2018-163020,2018-09-15,2018-09-19,Meg O'Connel,MO-17800,35.56,1
290,CA-2018-153787,2018-05-19,2018-05-23,Annie Thurman,AT-10735,97.16,1
291,CA-2018-133431,2018-12-17,2018-12-21,Logan Currie,LC-17140,28.47,2
292,US-2017-135720,2017-12-11,2017-12-13,Fred McMath,FM-14380,663.95,3
293,CA-2018-144694,2018-09-24,2018-09-26,Brian Dahlen,BD-11605,253.82,2
294,CA-2016-168004,2016-10-04,2016-10-09,Denny Joy,DJ-13420,392.94,1
295,US-2017-123470,2017-08-15,2017-08-21,Max Engle,ME-17725,141.21,2
296,CA-2017-115917,2017-05-20,2017-05-25,Rick Bensley,RB-19465,1064.62,2
297,CA-2017-147067,2017-12-18,2017-12-22,Justin Deggeller,JD-16150,18.84,1
298,CA-2018-167913,2018-07-30,2018-08-03,John Lee,JL-15835,356.65,2
299,CA-2018-106103,2018-06-10,2018-06-15,Sean Christensen,SC-20305,132.52,1
300,US-2018-127719,2018-07-21,2018-07-25,Tamara Willingham,TW-21025,6.48,1
301,CA-2018-126221,2018-12-30,2019-01-05,Chuck Clark,CC-12430,209.3,1
302,CA-2017-103947,2017-04-01,2017-04-08,Barry Blumstein,BB-10990,61.7,2
303,CA-2017-160745,2017-12-11,2017-12-16,Anthony Rawles,AR-10825,633.18,3
304,CA-2017-132661,2017-10-23,2017-10-29,Steven Roelle,SR-20740,379.4,1
305,CA-2018-140844,2018-06-19,2018-06-23,Allen Rosenblatt,AR-10405,200.94,2
